PHONE_NUMBER,NPANXX,CARRIER_NAME,THINQ_TIER,OCN,LATA,STATE,RATECENTER,TAG,ROUTING_ORIGINATION,ROUTING_TF_LCR,SITE,CNAM_OUT,CNAM_IN,E911,SMS,GROUP_NAME,INBOUND_MESSAGING_URL,DELIVERY_NOTIFICATION_URL,CAMPAIGN_ID,PURCHASE_DATE
13375451358,337545,Commio,0,939H,488,LA,CENTERVL,,,,,,,,ON,,,,CYA7NIN,2026-01-19
13378368258,337836,Commio,0,939H,488,LA,CENTERVL,,,,,,,,ON,,,,CYA7NIN,2026-01-19
13378368261,337836,Commio,0,939H,488,LA,CENTERVL,,,,,,,,ON,,,,CYA7NIN,2026-01-19
13378368264,337836,Commio,0,939H,488,LA,CENTERVL,,,,,,,,ON,,,,CYA7NIN,2026-01-19
13378368265,337836,Commio,0,939H,488,LA,CENTERVL,,,,,,,,ON,,,,CYA7NIN,2026-01-19
13378368272,337836,Commio,0,939H,488,LA,CENTERVL,,,,,,,,ON,,,,CYA7NIN,2026-01-19
13378368273,337836,Commio,0,939H,488,LA,CENTERVL,,,,,,,,ON,,,,CYA7NIN,2026-01-19
13378368276,337836,Commio,0,939H,488,LA,CENTERVL,,,,,,,,ON,,,,CA02JU2,2026-01-19
13378368277,337836,Commio,0,939H,488,LA,CENTERVL,,,,,,,,ON,,,,CA02JU2,2026-01-19
13378368282,337836,Commio,0,939H,488,LA,CENTERVL,,,,,,,,ON,,,,CA02JU2,2026-01-19
13378368283,337836,Commio,0,939H,488,LA,CENTERVL,,,,,,,,ON,,,,CA02JU2,2026-01-19
13378368286,337836,Commio,0,939H,488,LA,CENTERVL,,,,,,,,ON,,,,CA02JU2,2026-01-19
13378368287,337836,Commio,0,939H,488,LA,CENTERVL,,,,,,,,ON,,,,CA02JU2,2026-01-19
13378368290,337836,Commio,0,939H,488,LA,CENTERVL,,,,,,,,ON,,,,CA02JU2,2026-01-19
14022856498,402285,Commio,0,549E,644,NE,CRESTON,,,,,,,,ON,,,,CYA7NIN,2026-01-19
14053631821,405363,Commio,0,409F,536,OK,EDMOND,,,,,,,,ON,,,,CYA7NIN,2026-01-19
14053631949,405363,Commio,0,409F,536,OK,EDMOND,,,,,,,,ON,,,,CYA7NIN,2026-01-19
14056973537,405697,Commio,0,384H,536,OK,EDMOND,,,,,,,,ON,,,,CYA7NIN,2026-01-19
14058888795,405888,Commio,0,409F,536,OK,EDMOND,,,,,,,,ON,,,,CYA7NIN,2026-01-19
14058888953,405888,Commio,0,409F,536,OK,EDMOND,,,,,,,,ON,,,,CYA7NIN,2026-01-19
14058888960,405888,Commio,0,409F,536,OK,EDMOND,,,,,,,,ON,,,,CYA7NIN,2026-01-19
14059201703,405920,Commio,0,409F,536,OK,EDMOND,,,,,,,,ON,,,,CYA7NIN,2026-01-19
14059384263,405938,Commio,0,409F,536,OK,EDMOND,,,,,,,,ON,,,,CA02JU2,2026-01-19
14059605017,405960,Commio,0,939H,536,OK,EDMOND,,,,,,,,ON,,,,CA02JU2,2026-01-19
14059605019,405960,Commio,0,939H,536,OK,EDMOND,,,,,,,,ON,,,,CA02JU2,2026-01-19
14059605024,405960,Commio,0,939H,536,OK,EDMOND,,,,,,,,ON,,,,CA02JU2,2026-01-19
14059605089,405960,Commio,0,939H,536,OK,EDMOND,,,,,,,,ON,,,,CA02JU2,2026-01-19
14059605253,405960,Commio,0,939H,536,OK,EDMOND,,,,,,,,ON,,,,CA02JU2,2026-01-19
14059605321,405960,Commio,0,939H,536,OK,EDMOND,,,,,,,,ON,,,,CA02JU2,2026-01-19
14795230669,479523,Commio,0,939H,526,AR,"EUREKA SPG",,,,,,,,ON,,,,CYA7NIN,2026-01-19
14795230670,479523,Commio,0,939H,526,AR,"EUREKA SPG",,,,,,,,ON,,,,CYA7NIN,2026-01-19
14795230671,479523,Commio,0,939H,526,AR,"EUREKA SPG",,,,,,,,ON,,,,CYA7NIN,2026-01-19
14795230672,479523,Commio,0,939H,526,AR,"EUREKA SPG",,,,,,,,ON,,,,CYA7NIN,2026-01-19
14795230673,479523,Commio,0,939H,526,AR,"EUREKA SPG",,,,,,,,ON,,,,CYA7NIN,2026-01-19
14795230674,479523,Commio,0,939H,526,AR,"EUREKA SPG",,,,,,,,ON,,,,CYA7NIN,2026-01-19
14795230675,479523,Commio,0,939H,526,AR,"EUREKA SPG",,,,,,,,ON,,,,CYA7NIN,2026-01-19
14795230676,479523,Commio,0,939H,526,AR,"EUREKA SPG",,,,,,,,ON,,,,CA02JU2,2026-01-19
14795230677,479523,Commio,0,939H,526,AR,"EUREKA SPG",,,,,,,,ON,,,,CA02JU2,2026-01-19
14795230678,479523,Commio,0,939H,526,AR,"EUREKA SPG",,,,,,,,ON,,,,CA02JU2,2026-01-19
14795230679,479523,Commio,0,939H,526,AR,"EUREKA SPG",,,,,,,,ON,,,,CA02JU2,2026-01-19
14795230680,479523,Commio,0,939H,526,AR,"EUREKA SPG",,,,,,,,ON,,,,CA02JU2,2026-01-19
14795230681,479523,Commio,0,939H,526,AR,"EUREKA SPG",,,,,,,,ON,,,,CA02JU2,2026-01-19
14795230682,479523,Commio,0,939H,526,AR,"EUREKA SPG",,,,,,,,ON,,,,CA02JU2,2026-01-19
15313000148,531300,Commio,0,549E,644,NE,CRESTON,,,,,,,,ON,,,,CYA7NIN,2026-01-19
15313430598,531343,Commio,0,939H,644,NE,CRESTON,,,,,,,,ON,,,,CYA7NIN,2026-01-19
15313430675,531343,Commio,0,939H,644,NE,CRESTON,,,,,,,,ON,,,,CYA7NIN,2026-01-19
15313430676,531343,Commio,0,939H,644,NE,CRESTON,,,,,,,,ON,,,,CYA7NIN,2026-01-19
15313430677,531343,Commio,0,939H,644,NE,CRESTON,,,,,,,,ON,,,,CYA7NIN,2026-01-19
15313430678,531343,Commio,0,939H,644,NE,CRESTON,,,,,,,,ON,,,,CYA7NIN,2026-01-19
15313430679,531343,Commio,0,939H,644,NE,CRESTON,,,,,,,,ON,,,,CA02JU2,2026-01-19
15313430680,531343,Commio,0,939H,644,NE,CRESTON,,,,,,,,ON,,,,CA02JU2,2026-01-19
15313430681,531343,Commio,0,939H,644,NE,CRESTON,,,,,,,,ON,,,,CA02JU2,2026-01-19
15313430682,531343,Commio,0,939H,644,NE,CRESTON,,,,,,,,ON,,,,CA02JU2,2026-01-19
15313430683,531343,Commio,0,939H,644,NE,CRESTON,,,,,,,,ON,,,,CA02JU2,2026-01-19
15313430684,531343,Commio,0,939H,644,NE,CRESTON,,,,,,,,ON,,,,CA02JU2,2026-01-19
15313430685,531343,Commio,0,939H,644,NE,CRESTON,,,,,,,,ON,,,,CA02JU2,2026-01-19
17856600231,785660,Commio,0,939H,534,KS,HOXIE,,,,,,,,ON,,,,CYA7NIN,2026-01-19
17856600246,785660,Commio,0,939H,534,KS,HOXIE,,,,,,,,ON,,,,CYA7NIN,2026-01-19
17856600248,785660,Commio,0,939H,534,KS,HOXIE,,,,,,,,ON,,,,CYA7NIN,2026-01-19
17856600291,785660,Commio,0,939H,534,KS,HOXIE,,,,,,,,ON,,,,CYA7NIN,2026-01-19
17856600377,785660,Commio,0,939H,534,KS,HOXIE,,,,,,,,ON,,,,CYA7NIN,2026-01-19
17856600380,785660,Commio,0,939H,534,KS,HOXIE,,,,,,,,ON,,,,CYA7NIN,2026-01-19
17856600386,785660,Commio,0,939H,534,KS,HOXIE,,,,,,,,ON,,,,CYA7NIN,2026-01-19
